Reach of Stacked_table,Stream,Number of Fish,Reach of WhitewaterFishStreamrevised2,Fork,Temp.C,Width.m,Depth.cm,CV.cm.s,P.gravel
American brook lamprey,nf pries source 1,,nf pries source 1,North,10,1.68,8.066666667,6.033333333,0.133333333
American brook lamprey,nf pries source 2,,nf pries source 2,North,13,1.666666667,7.416666667,7.6,0.066666667
American brook lamprey,nf pries 1,,nf pries 1,North,9,1.841333333,17.71666667,22.33333333,0.116666667
American brook lamprey,nf pries 2,,nf pries 2,North,10,3.386666667,33.76666667,27.43333333,0.316666667
American brook lamprey,nf walsch,,nf walsch,North,9,2.853333333,51.06666667,27.18333333,0.283333333
American brook lamprey,nf shea,,nf shea,North,9,4.133333333,33.18333333,30.65,0.133333333
American brook lamprey,nf jech,,nf jech,North,11,4.653333333,54.06666667,30.4,0.15
American brook lamprey,nf tradup,,nf tradup,North,10,6.013333333,59.5,23.83333333,0.066666667
American brook lamprey,nf elgin,,nf elgin,North,11,7.926666667,43.23333333,23.9,0.033333333
American brook lamprey,nf jech pond,,nf jech pond,North,12,8.273333333,45.46666667,19.78333333,0
American brook lamprey,nf sjech,,nf sjech,North,13,8.193333333,46.75,28.53333333,0.033333333
American brook lamprey,nf reiter,,nf reiter,North,13,5.353333333,55.38333333,27.1,0.2
American brook lamprey,nf borgen,,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
American brook lamprey,nf crary,,nf crary,North,13,9.673333333,45.56666667,21.85,0
American brook lamprey,nf kcrary,,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
American brook lamprey,nf carley,,nf carley,North,13,11.28125,40.953125,17.484375,0
American brook lamprey,nf breiter,,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
American brook lamprey,nf logan,,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
American brook lamprey,nf upper wwma,,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
American brook lamprey,nf fairwater,,nf fairwater,North,,12.48,,,
American brook lamprey,nf elba,3,nf elba,North,14,11.26666667,36.93333333,56.55,0
American brook lamprey,mf crow springs source,,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
American brook lamprey,mf crow springs hwy 9,,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
American brook lamprey,mf crow springs biers,,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
American brook lamprey,mf hines 107,,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
American brook lamprey,mf russel,,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
American brook lamprey,mf kriedermacher,,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
American brook lamprey,mf bedtke,,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
American brook lamprey,mf palmby,,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
American brook lamprey,mf bedtka,,mf bedtka,Middle,13,3.806666667,58.93333333,28.4,0.25
American brook lamprey,mf duellman,,mf duellman,Middle,16,6.086666667,34.28333333,25.06666667,0.166666667
American brook lamprey,mf halbakken,,mf halbakken,Middle,10,6.613333333,34.88333333,18.25,0.25
American brook lamprey,mf hentges,,mf hentges,Middle,14,6.4,34.65,35.73333333,0.333333333
American brook lamprey,mf quincy,,mf quincy,Middle,13,7.53,,,
American brook lamprey,mf cwwma,,mf cwwma,Middle,12,11.77333333,49.31666667,54.28333333,0.45
American brook lamprey,mf group camp,,mf group camp,Middle,14,9.493333333,44.28333333,24.48333333,0
American brook lamprey,mf south picnic,,mf south picnic,Middle,10,11.43333333,35.55,53.71666667,0.15
American brook lamprey,mf park campground,,mf park campground,Middle,8,9.653333333,36.56666667,55.5,0.016666667
American brook lamprey,mf lazy d,,mf lazy d,Middle,12,9.34,46.21666667,59.68333333,0.116666667
American brook lamprey,mf swwma,,mf swwma,Middle,12,10.62,30.33333333,39.56666667,0
American brook lamprey,sf eyota,,sf eyota,South,,6.51,,,
American brook lamprey,sf grahams arena,,sf grahams arena,South,14,2.893333333,16.4,13.5,0.55
American brook lamprey,sf eyota ditch,,sf eyota ditch,South,13,2.246666667,22.05,26.83333333,0.5
American brook lamprey,sf c. franke source,,sf c. franke source,South,9,1.693333333,17.95454545,21.65909091,0.166666667
American brook lamprey,sf c. franke,,sf c. franke,South,10,2.68,23.2962963,12.16666667,0.45
American brook lamprey,sf b. franke,,sf b. franke,South,11,3.46,34.26666667,27.5,0.25
American brook lamprey,sf keefe,,sf keefe,South,13,4.94,33.16666667,22.1,0.216666667
American brook lamprey,sf millard,,sf millard,South,10,4.533333333,61.15,55.18333333,0.2
American brook lamprey,sf irhke source,,sf irhke source,South,8,6.206666667,44.25,24.76666667,0.083333333
American brook lamprey,sf millard d/s,,sf millard d/s,South,11,8.806666667,45.06666667,56.7,0.4
American brook lamprey,sf zitzow,,sf zitzow,South,10,6.76,29.38333333,35.93333333,0.583333333
American brook lamprey,sf andring,,sf andring,South,8,5.22,45.11666667,33.5,0.383333333
American brook lamprey,sf park west,,sf park west,South,12,5.746666667,41.66666667,43.16666667,0.316666667
American brook lamprey,sf brookwood,,sf brookwood,South,10,6.513333333,53.33333333,44.13333333,0.183333333
American brook lamprey,sf scpu,,sf scpu,South,12,9.533333333,53.45,33.88333333,0.283333333
American brook lamprey,sf richland crossing,,sf richland crossing,South,13,9.48,60.38333333,34.85,0.133333333
American brook lamprey,sf person,,sf person,South,12,9.546666667,44.93333333,55.45,0.416666667
American brook lamprey,sf heins 37,,sf heins 37,South,8,10.08666667,50.45,35.05,0.183333333
American brook lamprey,sf high bridge,,sf high bridge,South,10,8.533333333,41.05,48.43333333,0.033333333
American brook lamprey,sf u/s crystal springs,4,sf u/s crystal springs,South,,14.28,,,
American brook lamprey,sf hwy 26,2,sf hwy 26,South,9,11.96666667,55.355,47.98333333,0.316666667
Rainbow trout,nf pries source 1,,nf pries source 1,North,10,1.68,8.066666667,6.033333333,0.133333333
Rainbow trout,nf pries source 2,,nf pries source 2,North,13,1.666666667,7.416666667,7.6,0.066666667
Rainbow trout,nf pries 1,,nf pries 1,North,9,1.841333333,17.71666667,22.33333333,0.116666667
Rainbow trout,nf pries 2,,nf pries 2,North,10,3.386666667,33.76666667,27.43333333,0.316666667
Rainbow trout,nf walsch,,nf walsch,North,9,2.853333333,51.06666667,27.18333333,0.283333333
Rainbow trout,nf shea,,nf shea,North,9,4.133333333,33.18333333,30.65,0.133333333
Rainbow trout,nf jech,,nf jech,North,11,4.653333333,54.06666667,30.4,0.15
Rainbow trout,nf tradup,,nf tradup,North,10,6.013333333,59.5,23.83333333,0.066666667
Rainbow trout,nf elgin,,nf elgin,North,11,7.926666667,43.23333333,23.9,0.033333333
Rainbow trout,nf jech pond,,nf jech pond,North,12,8.273333333,45.46666667,19.78333333,0
Rainbow trout,nf sjech,,nf sjech,North,13,8.193333333,46.75,28.53333333,0.033333333
Rainbow trout,nf reiter,,nf reiter,North,13,5.353333333,55.38333333,27.1,0.2
Rainbow trout,nf borgen,,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
Rainbow trout,nf crary,,nf crary,North,13,9.673333333,45.56666667,21.85,0
Rainbow trout,nf kcrary,,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
Rainbow trout,nf carley,10,nf carley,North,13,11.28125,40.953125,17.484375,0
Rainbow trout,nf breiter,,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
Rainbow trout,nf logan,,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
Rainbow trout,nf upper wwma,,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
Rainbow trout,nf fairwater,,nf fairwater,North,,12.48,,,
Rainbow trout,nf elba,9,nf elba,North,14,11.26666667,36.93333333,56.55,0
Rainbow trout,mf crow springs source,,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
Rainbow trout,mf crow springs hwy 9,,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
Rainbow trout,mf crow springs biers,,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
Rainbow trout,mf hines 107,,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
Rainbow trout,mf russel,,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
Rainbow trout,mf kriedermacher,,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
Rainbow trout,mf bedtke,,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
Rainbow trout,mf palmby,,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
Rainbow trout,mf bedtka,,mf bedtka,Middle,13,3.806666667,58.93333333,28.4,0.25
Rainbow trout,mf duellman,,mf duellman,Middle,16,6.086666667,34.28333333,25.06666667,0.166666667
Rainbow trout,mf halbakken,,mf halbakken,Middle,10,6.613333333,34.88333333,18.25,0.25
Rainbow trout,mf hentges,,mf hentges,Middle,14,6.4,34.65,35.73333333,0.333333333
Rainbow trout,mf quincy,,mf quincy,Middle,13,7.53,,,
Rainbow trout,mf cwwma,,mf cwwma,Middle,12,11.77333333,49.31666667,54.28333333,0.45
Rainbow trout,mf group camp,,mf group camp,Middle,14,9.493333333,44.28333333,24.48333333,0
Rainbow trout,mf south picnic,,mf south picnic,Middle,10,11.43333333,35.55,53.71666667,0.15
Rainbow trout,mf park campground,,mf park campground,Middle,8,9.653333333,36.56666667,55.5,0.016666667
Rainbow trout,mf lazy d,,mf lazy d,Middle,12,9.34,46.21666667,59.68333333,0.116666667
Rainbow trout,mf swwma,,mf swwma,Middle,12,10.62,30.33333333,39.56666667,0
Rainbow trout,sf eyota,,sf eyota,South,,6.51,,,
Rainbow trout,sf grahams arena,,sf grahams arena,South,14,2.893333333,16.4,13.5,0.55
Rainbow trout,sf eyota ditch,,sf eyota ditch,South,13,2.246666667,22.05,26.83333333,0.5
Rainbow trout,sf c. franke source,,sf c. franke source,South,9,1.693333333,17.95454545,21.65909091,0.166666667
Rainbow trout,sf c. franke,,sf c. franke,South,10,2.68,23.2962963,12.16666667,0.45
Rainbow trout,sf b. franke,,sf b. franke,South,11,3.46,34.26666667,27.5,0.25
Rainbow trout,sf keefe,,sf keefe,South,13,4.94,33.16666667,22.1,0.216666667
Rainbow trout,sf millard,,sf millard,South,10,4.533333333,61.15,55.18333333,0.2
Rainbow trout,sf irhke source,,sf irhke source,South,8,6.206666667,44.25,24.76666667,0.083333333
Rainbow trout,sf millard d/s,,sf millard d/s,South,11,8.806666667,45.06666667,56.7,0.4
Rainbow trout,sf zitzow,,sf zitzow,South,10,6.76,29.38333333,35.93333333,0.583333333
Rainbow trout,sf andring,,sf andring,South,8,5.22,45.11666667,33.5,0.383333333
Rainbow trout,sf park west,,sf park west,South,12,5.746666667,41.66666667,43.16666667,0.316666667
Rainbow trout,sf brookwood,,sf brookwood,South,10,6.513333333,53.33333333,44.13333333,0.183333333
Rainbow trout,sf scpu,,sf scpu,South,12,9.533333333,53.45,33.88333333,0.283333333
Rainbow trout,sf richland crossing,,sf richland crossing,South,13,9.48,60.38333333,34.85,0.133333333
Rainbow trout,sf person,,sf person,South,12,9.546666667,44.93333333,55.45,0.416666667
Rainbow trout,sf heins 37,,sf heins 37,South,8,10.08666667,50.45,35.05,0.183333333
Rainbow trout,sf high bridge,,sf high bridge,South,10,8.533333333,41.05,48.43333333,0.033333333
Rainbow trout,sf u/s crystal springs,9,sf u/s crystal springs,South,,14.28,,,
Rainbow trout,sf hwy 26,8,sf hwy 26,South,9,11.96666667,55.355,47.98333333,0.316666667
Brown trout,nf pries source 1,,nf pries source 1,North,10,1.68,8.066666667,6.033333333,0.133333333
Brown trout,nf pries source 2,,nf pries source 2,North,13,1.666666667,7.416666667,7.6,0.066666667
Brown trout,nf pries 1,,nf pries 1,North,9,1.841333333,17.71666667,22.33333333,0.116666667
Brown trout,nf pries 2,,nf pries 2,North,10,3.386666667,33.76666667,27.43333333,0.316666667
Brown trout,nf walsch,3,nf walsch,North,9,2.853333333,51.06666667,27.18333333,0.283333333
Brown trout,nf shea,3,nf shea,North,9,4.133333333,33.18333333,30.65,0.133333333
Brown trout,nf jech,,nf jech,North,11,4.653333333,54.06666667,30.4,0.15
Brown trout,nf tradup,8,nf tradup,North,10,6.013333333,59.5,23.83333333,0.066666667
Brown trout,nf elgin,4,nf elgin,North,11,7.926666667,43.23333333,23.9,0.033333333
Brown trout,nf jech pond,4,nf jech pond,North,12,8.273333333,45.46666667,19.78333333,0
Brown trout,nf sjech,10,nf sjech,North,13,8.193333333,46.75,28.53333333,0.033333333
Brown trout,nf reiter,12,nf reiter,North,13,5.353333333,55.38333333,27.1,0.2
Brown trout,nf borgen,11,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
Brown trout,nf crary,6,nf crary,North,13,9.673333333,45.56666667,21.85,0
Brown trout,nf kcrary,6,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
Brown trout,nf carley,5,nf carley,North,13,11.28125,40.953125,17.484375,0
Brown trout,nf breiter,27,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
Brown trout,nf logan,21,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
Brown trout,nf upper wwma,13,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
Brown trout,nf fairwater,7,nf fairwater,North,,12.48,,,
Brown trout,nf elba,16,nf elba,North,14,11.26666667,36.93333333,56.55,0
Brown trout,mf crow springs source,4,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
Brown trout,mf crow springs hwy 9,65,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
Brown trout,mf crow springs biers,49,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
Brown trout,mf hines 107,,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
Brown trout,mf russel,15,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
Brown trout,mf kriedermacher,5,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
Brown trout,mf bedtke,2,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
Brown trout,mf palmby,3,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
